,alpha,gamma,b,loc,scale
241,0.9999999999999999,3.6,0.1815197697428449,0.0042605911556908155,0.0018643367925603995
242,0.9999999999999999,3.7,0.19311557322406986,0.0014111204185149914,0.0038556880739178514
243,0.9999999999999999,3.8000000000000003,0.22081608813550374,0.002213523434080384,0.007357835653160537
244,0.9999999999999999,3.9000000000000004,1.7399426821103852,-0.0015148713924237301,1.002782610316285
245,0.9999999999999999,4.0,0.3262690950869779,-0.006790238666217341,0.032900649454701045
246,1.0999999999999999,0.0,0.28496767780125043,-0.0013926857299639884,0.023144044261398433
247,1.0999999999999999,0.1,2.339608255627411,-0.5641502147206148,1.6269584778251338
248,1.0999999999999999,0.2,0.2813331967241023,0.003997381743584804,0.01637100240517768
249,1.0999999999999999,0.30000000000000004,1.416843489130597,-0.0003723078176424249,0.9698045763077585
250,1.0999999999999999,0.4,0.26730719654022517,0.008636434882752297,0.009585573428488805
251,1.0999999999999999,0.5,1.6339313713260466,0.0013783009438972675,1.0492978565328666
252,1.0999999999999999,0.6000000000000001,0.3199148676889081,-0.02504537503303697,0.02957096650404748
253,1.0999999999999999,0.7000000000000001,0.18825861532644017,0.0026687320188262505,0.002629515825632896
254,1.0999999999999999,0.8,0.24731031866145442,-0.0069471224508501975,0.010651641820875538
255,1.0999999999999999,0.9,0.2704205820356363,-0.002487023413037518,0.014287949549323227
256,1.0999999999999999,1.0,0.27197098197050884,-0.003588256040516925,0.015112607945451731
257,1.0999999999999999,1.1,1.452827164983161,0.00034618159139652527,0.0025865601430873682
258,1.0999999999999999,1.2000000000000002,0.24348325907144946,0.0005174659497588691,0.008799032030043688
259,1.0999999999999999,1.3,0.24378344602708799,0.004350093386415729,0.009348997868176567
260,1.0999999999999999,1.4000000000000001,0.20759163362731942,0.0009565370723079486,0.004054051364151287
261,1.0999999999999999,1.5,0.2827206223724163,0.0038110903982494218,0.01295136143093695
262,1.0999999999999999,1.6,1.544118206336155,-0.0005546071389725285,0.9944193492166544
263,1.0999999999999999,1.7000000000000002,1.5044412194217363,-0.00786863298398284,0.01582480711244348
264,1.0999999999999999,1.8,0.7346401480064304,0.004147910663567224,0.00041042509192251313
